t_ms,ax,ay,az,gx,gy,gz,label
5,-8.39,-0.63,-4.6,12.43,33.41,-6.61,3
29,-8.62,-0.89,-4.7,3.89,2.25,-12.77,3
54,-9.02,-0.78,-4.54,0.66,-10.86,-17.83,3
79,-9.32,-0.84,-4.61,-0.13,2.43,-16.18,3
103,-8.88,-1.26,-4.94,-3.37,9.02,-16,3
128,-8.93,-1.39,-4.8,-8.37,4.08,-21.25,3
152,-9.17,-0.99,-4.51,-8.73,-14.33,-23.2,3
177,-9.4,-0.82,-3.96,-3.79,-3.24,-19.48,3
201,-9.23,-1.08,-4.02,2.91,15.54,-15.64,3
226,-9.48,-1.07,-4.39,7.49,21.95,-13.62,3
251,-9.79,-1.1,-5.05,12.85,22.86,-11.73,3
275,-10.03,-1.26,-5.67,13.65,22.74,-8.5,3
301,-10.11,-1.34,-6.32,8.22,21.7,-4.78,3
325,-10.27,-1.24,-6.38,0.29,15.91,-0.7,3
350,-10.21,-1.01,-6.09,-4.1,4.32,2.23,3
375,-9.92,-0.96,-5.84,-6.54,1.03,4.67,3
399,-9.93,-0.89,-5.49,-7.45,4.08,6.93,3
424,-9.95,-0.87,-5.68,-8,10.79,11.8,3
448,-9.55,-0.9,-5.79,-10.5,7.25,15.4,3
473,-9.18,-0.98,-5.68,-16.41,-4.76,14.12,3
497,-9.18,-0.78,-5.41,-18.61,-9.76,10.83,3
522,-9.04,-0.56,-5.21,-16.9,-5.31,10.1,3
547,-8.87,-0.45,-5.15,-15.5,-2.26,10.34,3
571,-8.85,-0.64,-5.15,-14.1,0.91,10.89,3
597,-8.74,-0.41,-5.1,-10.2,5.06,10.77,3
621,-8.74,-0.32,-5.33,-5.2,6.58,9.97,3
646,-8.65,-0.37,-5.6,-3.55,6.34,9.97,3
670,-8.52,-0.45,-5.66,-3.24,5.06,9.55,3
695,-8.41,-0.3,-5.68,-1.29,5.91,7.29,3
720,-8.27,-0.29,-5.44,-0.32,7.37,5.4,3
744,-8.12,-0.32,-5.65,-0.81,3.04,2.78,3
769,-8.14,-0.25,-5.55,-0.38,0.54,0.22,3
793,-8.34,-0.18,-5.61,-0.26,3.72,-2.4,3
818,-8.26,-0.32,-5.73,-2.88,3.29,-4.9,3
842,-8.36,-0.35,-5.61,-5.81,-1.71,-7.47,3
867,-8.64,-0.37,-5.47,-7.15,-7.32,-8.68,3
892,-8.72,-0.4,-5.22,-7.45,-4.82,-8.2,3
