Designator,Comment,Quantity,Fitted,Description,Footprint,Manufacturer 1,Manufacturer Part Number 1

"C1, C5, C16, C17, C22, C23, C29","CAP-000030-02","7","Fitted","Ceramic Chip Capacitor 0402 0.1uF 16V - vertical","CAPC0402-01","AVX","0402YC104KAT2A"
"C2","CAP-000066-01","1","Fitted","Ceramic Chip Capacitor 0603 10uF 10V","CAPC0603-01","Samsung","CL10A106KP8NNND"
"C3, C6, C7","CAP-100118-01","3","Fitted","Ceramic Chip Capacitor 0402 10pF 50V","CAPC0402-01","Yageo","CC0402JRNPO9BN100"
"C4, C42, C44, C45, C46, C47, C49, C50","CAP-000030-01","8","Fitted","Ceramic Chip Capacitor 0402 0.1uF 16V","CAPC0402-01","AVX","0402YC104KAT2A"
"C8, C33","CAP-000063-01","2","Fitted","Ceramic Chip Capacitor 0402 1uF 16V","CAPC0402-01","Murata","GRM155R61E105MA12D"
"C9","CAP-000061-01","1","Fitted","Ceramic Chip Capacitor 0402 0.001uF 50V","CAPC0402-01","Samsung","CL05B102KB5NNNC"
"C10, C14, C15, C19, C20, C25, C26, C27, C32, C35, C36, C37, C38, C39, C40, C41, C43, C48","CAP-000077-01","18","Fitted","Ceramic Chip Capacitor 0402 0.1uF 50V","CAPC0402-01","TDK","C1005X7R1H104K050BB"
"C11, C13","CAP-100006-01","2","Fitted","Ceramic Chip Capacitor 0603 10uF 50V X5R","CAPC0603-01","Murata","ZRB18AR61E106ME01L"
"C12","CAP-000127-01","1","Fitted","Ceramic Chip Capacitor 0402 47pF 50V","CAPC0402-01","Yageo","CC0402JRNPO9BN470"
"C18, C34","CAP-000080-01","2","Fitted","Ceramic Chip Capacitor 0402 220pF 50V","CAPC0402-01","Samsung","CL05B221KB5NNNC"
"C21, C31","CAP-000064-01","2","Fitted","Ceramic Chip Capacitor 0402 4.7uF 6.3V","CAPC0402-01","Samsung","CL05A475MQ5NQNC"
"C24, C30","CAP-000059-01","2","Fitted","Ceramic Chip Capacitor 0402 12pF 50V","CAPC0402-01","Samsung","CL05C120JB5NNNC"
"C28","CAP-100127-01","1","Fitted","Ceramic Chip Capacitor 0402 2.2uF 35V","CAPC0402-01","TDK Corporation","C1005X5R1V225K050BC"
"D1","DIO-100004-01","1","Fitted","Si 100V 150mA 1.25Vf","MCC_SOD123","Micro Commercial Co","1N4148W"
"D2, D4, D7","DIO-100005-01","3","Fitted","Semtech TVS Diode Array for USB","SEMTECH_SLP1210N6","Semtech","RClamp0582N.TCT"
"D3","DIO-100013-01","1","Fitted","Semtech TVS diode, single, 22V","SEMTECH_DFN110P160X55-2N","Semtech","uClamp2271P.TNT"
"D5","DIO-100011-01","1","Fitted","Semtech TVS diode, single, 5V","SEMTECH_DFN110P160X55-2N","Semtech","uClamp0571P.TNT"
"D6","DIO-100019-01","1","Fitted","Semtech 2-line Surge and ESD protection","SEMTECH_SGP1006N3T","Semtech","RClamp0512TQ.TCT"
"D8, D9","DIO-000012-01","2","Fitted","OnSemi Schottky Power Rectifier 40V 1A","ONSEMI_SOD-123LF","OnSemi","MBR140SFT1G"
"FL1","IND-000027-01","1","Fitted","Common Mode Filter Inductor, 200 ohm CM @ 100MHz","MURATA_FL0504","Murata","DLP11SN201HL2L"
"HW1, HW2","FAS-100003-01","2","Fitted","MIl-Max Guide Pin, press-fit, 1.19mm hole, 0.64mm pin, 3.94mm tall, 1.4mm PCB","Mil-Max_8932-0-00-15-00-00-03-0","Mil-Max","8932-0-00-15-00-00-03-0"
"J1, J2, J4, J5, J8","CON-000050-02_P","5","Fitted","Samtec Female Header 0.1"" pitch PMOD 2x6 Right Angle","SAMTEC_SSW-106-02-F-D-RA-PMOD","Samtec","SSW-106-02-F-D-RA"
